Track ID,Play Count,Total Played Minutes,Artist - Title
71F75048E2797D48,52,315.47,Ethel Cain - Fuck Me Eyes
3FD5427A420212BF,29,233.45,Ethel Cain - Nettles
E7C6B4490C162C8C,40,153.33,FKA twigs - Perfectly
0E5189AAF7F3114B,16,85.6,张韶涵 - 阿刁 (Live)
128C5FD8DE1FA837,30,82.0,BLACKPINK - JUMP
50737585B7A9C2A3,29,81.2,PinkPantheress - Stateside
6BD576D13EEE9CA0,23,76.28,cupcakKe - Deepthroat
3FF320B8EC2E4EFE,17,66.02,Oklou & underscores - harvest sky
F6C985E049741426,23,65.93,cupcakKe - One of My Bedbugs Ate My Pussy
EF7E29F2F3F545E0,28,65.8,PinkPantheress - Stars
B8C71FD323D8FE78,12,62.4,谭维维 - 乌兰巴托的夜 (Live)
A2EFC3E8E70A2958,22,56.47,PinkPantheress - Romeo
BCA48C5D4DEE9122,20,55.0,JENNIE - start a war
E5FD1A7CE287BCED,15,49.5,Oklou - blade bird
5CDBB3EE8F403C55,13,49.4,cupcakKe - Spider-Man Dick
44D5CA40BEA8EF76,14,48.53,cupcakKe - CPR
A67A0CB46187DBE3,16,43.47,cupcakKe - Juicy Coochie
57001AE090DCD295,10,42.83,Ethel Cain - two children in a motel (demo)
E92214D48E63FC2A,9,42.45,FKA twigs - Striptease
5FFE01856FCDEDE4,18,40.8,JENNIE - Mantra
ED301A16316B956D,16,39.73,PinkPantheress - Illegal
CAEF6C54AD6662B3,8,39.33,Ethel Cain - dust bowl (demo)
A8A5F34A6A5B52ED,6,38.7,"Black Country, New Road - For the Cold Country"
10F4659E7F057DEF,12,38.6,cupcakKe - Duck Duck Goose
14D7EF6D7218675B,7,36.17,Lana Del Rey - Flipside
776578B34C1F2DFC,6,35.1,Ethel Cain - Tongue
D1B8C31D986BE09D,7,34.53,Charli xcx - party 4 u
7775B45F83CE3F62,6,34.5,Lana Del Rey - Stars Fell on Alabama (Live at Stagecoach 2025)
576941208DBA6B8D,4,32.6,Nils Frahm - Listening Over
0DC3C230C45A77FA,6,29.1,Men I Trust - I Come With Mud
CD7BB4653A4D1C6E,14,28.7,JENNIE - like JENNIE
531A11E96628CFBF,4,28.27,Ethel Cain - south alabama (god's country demo)
7EFBFF20E0527683,8,26.27,FKA twigs - Perfect Stranger
8BE121B759BB4EAD,7,25.67,Troye Sivan - Angel Baby
9A897C69B7C223C4,5,25.08,Nils Frahm - Kanten
3A06CE83BD4DC8DE,8,24.53,JENNIE & Dua Lipa - Handlebars
AE6971AB6F04FA7C,7,24.38,The Marías - Echo
4D64DE6061A725E7,3,23.7,Quadeca - FORGONE
C11E6D2BE28C597F,8,23.47,Ethel Cain - Knuckle Velvet (Early Demo)
1C9B0DF09DD705C5,4,23.4,Lana Del Rey - Brooklyn Baby
7CD0E43372F06512,5,23.08,Weyes Blood - Seven Words
21DA0058A9FBB5CA,4,22.8,Lana Del Rey - Shades of Cool
364805247E90BCB8,4,21.8,Weyes Blood - In the Beginning
5D9864BDE4FAA657,7,20.65,FKA twigs - Sticky
59D9FB3A33999C9D,4,20.27,Wolf Alice - Delicious Things
1770901CF39C98AD,5,19.58,The Pretty Reckless - Make Me Wanna Die
9CE330357EB7AFE0,4,17.53,FKA twigs - Eusexua
53F186E9860BE72C,6,17.4,PinkPantheress - Tonight
6E4C10121E6F2C3E,4,17.4,Wolf Alice - The Last Man on Earth
371F7ADCD02F43C1,10,17.33,PinkPantheress - Noises
E072F771FA0DA81A,5,17.25,cupcakKe - Spoiled Milk Titties
9C7AB86505E920DA,5,17.17,cupcakKe - Vagina
56E3F881262D9AB4,3,17.1,Madonna - Ray of Light (Sasha Twilo Mix Edit)
17692A8AE59C6744,6,17.0,PinkPantheress - Nice to Know You
0E5CB11A1678B17C,5,16.83,Ethel Cain - Knuckle Velvet (feat. Yah Wav)
663E5AD8CD3E6530,5,16.75,"Tyler, The Creator - Ring Ring Ring"
C27F6ECBCA017DBC,6,16.7,JENNIE & Doechii - ExtraL
0BDB516593576472,4,16.2,Quadeca - MONDAY
5F3E022FEB2A7337,5,15.67,Wet Leg - catch these fists
4185515A2F91DCEB,3,15.55,"Lana Del Rey - Henry, come on"
652D8C6AA5BE3643,5,15.0,cupcakKe - Connect 4
C01F417DDFD026FB,6,14.7,Charli xcx - Move Me
156E5957B8E8CD92,6,14.5,PinkPantheress - Girl Like Me
F5DD454732FBEC50,3,14.05,FKA twigs - 24hr Dog
D7C1D13F2E09D43E,4,13.8,underscores - Music
ED66A6240C736829,4,13.67,Ichiko Aoba - 惑星の泪 (Wakusei No Namida)
17C1CAD4BB600750,3,13.5,Florence + the Machine - Never Let Me Go
477A3EE05EE008ED,5,13.33,The Marías - Run Your Mouth
8BAA6F45D6453223,3,13.15,谭维维 - 如果有来生 (Live)
