Ethel Cain,808.13
cupcakKe,443.08
Lana Del Rey,358.04
FKA twigs,350.66
PinkPantheress,316.63
Charli xcx,218.04
JENNIE,165.73
Quadeca,152.60
Nils Frahm,123.40
Oklou,123.07
"Tyler, The Creator",93.68
张韶涵,89.70
BLACKPINK,82.00
underscores,79.82
The Marías,78.05
"Black Country, New Road",77.66
Men I Trust,77.20
谭维维,75.55
Britney Spears,71.51
Weyes Blood,67.69
Oklou & underscores,66.02
Florence + the Machine,59.73
Wet Leg,50.13
Wolf Alice,47.72
Jamie xx,45.24
Caroline Polachek,41.59
The Pretty Reckless,37.11
Christina Aguilera,35.35
Jiafei,35.15
Magdalena Bay,31.30
蔡依林,29.29
Troye Sivan,28.69
Ichiko Aoba,27.95
Dua Lipa,27.13
JENNIE & Dua Lipa,24.53
Avril Lavigne,24.48
Shygirl,23.72
Madonna,22.43
Ariana Grande,19.40
Chappell Roan,19.03
Arca,18.05
Lady Gaga,17.39
王菲,16.97
JENNIE & Doechii,16.70
Doechii,16.70
Miley Cyrus,16.67
Addison Rae,16.45
Viagra Boys,16.45
Billie Eilish,16.38
Jiafei & cupcakKe,16.25
Natalia Lafourcade,13.87
Arctic Monkeys,13.34
Charli xcx & Ariana Grande,12.83
Paradis,12.77
Beyoncé,11.70
Quadeca & Olēka,10.50
Olēka,10.50
HANA,10.13
Kali Uchis,9.95
Fatima Al Qadiri,9.28
"Tyler, The Creator & Pharrell Williams",9.10
Pharrell Williams,9.10
"Clarice Jensen, Ben Russell, Yuki Numata Resnick & Max Richter",8.87
"Clarice Jensen, Ben Russell, Yuki Numata Resnick",8.87
Max Richter,8.87
black midi,8.36
Angel Olsen,8.23
Cosmo,8.20
Sa Ding Ding,7.67
Shygirl & SG Lewis,7.45
SG Lewis,7.45
"Shygirl, Jorja Smith & SadBoi",7.40
"Shygirl, Jorja Smith",7.40
SadBoi,7.40
SZA,6.89
赵雷,6.28
Geordie Greep,6.05
Calvin Harris,5.87
Lei Zhao,5.48
Nicki Minaj,5.38
Beach House,5.33
Freak Heat Waves & Cindy Lee,5.15
Freak Heat Waves,5.15
Cindy Lee,5.15
Sunni Colón,5.07
Ben Platt,4.70
Natalia Lafourcade & El David Aguilar,4.30
El David Aguilar,4.30
Radiohead,4.18
久石譲,4.18
Frank Ocean,4.15
Dimash,4.10
Jean-Efflam Bavouzet,4.07
Natalia Lafourcade & Israel Fernández,3.97
Israel Fernández,3.97
ABBA,3.85
beabadoobee,3.83
Fontaines D.C.,3.68
Jamie xx & Robyn,3.37
Robyn,3.37
Rina Sawayama,3.35
Arca & Sia,3.30
Sia,3.30
Paloma Faith,3.25
Young Fathers,3.22
FKA twigs & Koreless,3.18
Koreless,3.18
Halsey,3.02
SOPHIE,3.00
Shygirl & slowthai,2.80
slowthai,2.80
Charli xcx & Shygirl,2.02
Cristobal Tapia De Veer,1.77
