Track ID,Play Count,Total Played Minutes,Artist - Title
F2C2753301DF4BB1,5,76.25,"Ethel Cain - Waco, Texas"
44969FF10EEAB973,7,45.03,Ethel Cain - Dust Bowl
5EB0B27AB01229EA,5,29.58,Racing Mount Pleasant - Emily
7775B45F83CE3F62,5,28.75,Lana Del Rey - Stars Fell on Alabama (Live at Stagecoach 2025)
65B538D41894674B,5,26.92,Lana Del Rey - Religion
7FC00CD304ECC653,6,23.0,Hana - Avalanche
0A216D05870FCF9F,5,21.42,Hana - Underwater
FD342F1760F1354C,3,21.0,Racing Mount Pleasant - Call It Easy
71A02B94B7A22929,3,14.75,Lana Del Rey - 24
1F41AF443D3964AE,3,14.5,Adele - When We Were Young
5ED4BABD4EC0B274,4,14.4,Hana - White
17DA4114EB2EF87B,3,14.05,Lana Del Rey - Salvatore
9CE330357EB7AFE0,3,13.15,FKA twigs - Eusexua
51E7931400F67FFD,3,11.35,Beyoncé - 16 CARRIAGES
3A035A32227E8B00,3,9.2,Herman's Hermits - The End of the World
