Ethel Cain,1566.87
Carlos Rafael Rivera,32.52
Florence + the Machine,24.03
Weyes Blood,23.65
Jiafei,19.63
Beyoncé,18.70
Wolf Alice,17.78
Chappell Roan,11.77
Lana Del Rey,10.47
Men I Trust,8.97
Sting,8.87
Racing Mount Pleasant,7.53
De Lorra,4.15
Cosmo,4.10
Magdalena Bay,4.05
Florence + the Machine & Jules Buckley,3.70
Jules Buckley,3.70
Taylor Swift,3.58
Oklou,3.47
Charli xcx & Lorde,3.42
Charli xcx,3.42
Lorde,3.42
Dua Lipa,3.22
Jiafei & cupcakKe,2.95
cupcakKe,2.95
Doja Cat,2.72
Reneé Rapp,2.50
