Ethel Cain,452.78
Magdalena Bay,161.40
FKA twigs,158.84
Doja Cat,86.53
Florence + the Machine,79.14
Arca,42.95
Lana Del Rey,39.42
Massive Attack,38.50
Tame Impala,33.43
BANKS,30.57
cupcakKe,28.01
Oklou,25.65
Björk,22.74
Oklou & underscores,19.42
underscores,19.42
Conan Gray,16.33
Miley Cyrus,15.27
Alvaro Soler,12.27
Ludovico Einaudi,11.00
Shygirl,7.70
Beyoncé,7.57
femtanyl,7.46
Racing Mount Pleasant,7.00
Metallica,6.47
ROSALÍA,5.93
Searows,5.58
Koreless,4.67
Grimes,4.50
Pond,3.73
Danny Brown,3.52
David Guetta Feat. Rihanna,3.35
RAYE,3.28
ROSALÍA & Rauw Alejandro,3.23
Rauw Alejandro,3.23
Britney Spears,3.17
Zara Larsson,3.15
Humbert Humbert,3.10
Dua Lipa,3.08
Lady Gaga,2.87
Shygirl & SG Lewis,2.48
SG Lewis,2.48
Mitski,2.13
Cristobal Tapia De Veer,1.77
