Track ID,Play Count,Total Played Minutes,Artist - Title
F2C2753301DF4BB1,49,747.25,"Ethel Cain - Waco, Texas"
44969FF10EEAB973,22,141.53,Ethel Cain - Dust Bowl
FD329C8C057CD8E6,23,115.0,Ethel Cain - Janie
3FD5427A420212BF,13,104.65,Ethel Cain - Nettles
71F75048E2797D48,17,103.13,Ethel Cain - Fuck Me Eyes
BBB758A1BC9D0BFA,9,90.0,Ethel Cain - Tempest
8AA610DE41A2927B,13,61.53,Ethel Cain - Willoughby's Theme
98C4A697BCE06CD3,11,59.4,Ethel Cain - A Knock At The Door
BB1016205B51BBCC,7,52.15,Ethel Cain - Willoughby's Interlude
0EE8805B449B9F3F,6,31.2,Ethel Cain - Radio Towers
02C2E7F38A7AE6B3,3,23.2,Ethel Cain - Vacillator
53BF904477EE10CF,5,20.33,Florence + the Machine - Everybody Scream
7CD0E43372F06512,3,13.85,Weyes Blood - Seven Words
E450E318C240044C,3,13.3,Wolf Alice - The Sofa
12531400CBD197E9,4,2.67,Jiafei - Summertime Sadness (Jiafei Remix)
