Track ID,Play Count,Total Played Minutes,Artist - Title
E7C6B4490C162C8C,25,95.83,FKA twigs - Perfectly
3FD5427A420212BF,10,80.5,Ethel Cain - Nettles
50737585B7A9C2A3,24,67.2,PinkPantheress - Stateside
EF7E29F2F3F545E0,26,61.1,PinkPantheress - Stars
71F75048E2797D48,8,48.53,Ethel Cain - Fuck Me Eyes
A2EFC3E8E70A2958,18,46.2,PinkPantheress - Romeo
BCA48C5D4DEE9122,16,44.0,JENNIE - start a war
ED301A16316B956D,15,37.25,PinkPantheress - Illegal
F6C985E049741426,10,28.67,cupcakKe - One of My Bedbugs Ate My Pussy
A67A0CB46187DBE3,10,27.17,cupcakKe - Juicy Coochie
5CDBB3EE8F403C55,7,26.6,cupcakKe - Spider-Man Dick
57001AE090DCD295,6,25.7,Ethel Cain - two children in a motel (demo)
CAEF6C54AD6662B3,5,24.58,Ethel Cain - dust bowl (demo)
3FF320B8EC2E4EFE,6,23.3,Oklou & underscores - harvest sky
6BD576D13EEE9CA0,7,23.22,cupcakKe - Deepthroat
531A11E96628CFBF,3,21.2,Ethel Cain - south alabama (god's country demo)
CD7BB4653A4D1C6E,10,20.5,JENNIE - like JENNIE
5FFE01856FCDEDE4,9,20.4,JENNIE - Mantra
A8A5F34A6A5B52ED,3,19.35,"Black Country, New Road - For the Cold Country"
3A06CE83BD4DC8DE,6,18.4,JENNIE & Dua Lipa - Handlebars
53F186E9860BE72C,6,17.4,PinkPantheress - Tonight
21DA0058A9FBB5CA,3,17.1,Lana Del Rey - Shades of Cool
17692A8AE59C6744,6,17.0,PinkPantheress - Nice to Know You
E5FD1A7CE287BCED,5,16.5,Oklou - blade bird
0E5189AAF7F3114B,3,16.05,张韶涵 - 阿刁 (Live)
371F7ADCD02F43C1,9,15.6,PinkPantheress - Noises
D1B8C31D986BE09D,3,14.8,Charli xcx - party 4 u
156E5957B8E8CD92,6,14.5,PinkPantheress - Girl Like Me
E92214D48E63FC2A,3,14.15,FKA twigs - Striptease
0E5CB11A1678B17C,4,13.47,Ethel Cain - Knuckle Velvet (feat. Yah Wav)
C01F417DDFD026FB,5,12.25,Charli xcx - Move Me
C11E6D2BE28C597F,4,11.73,Ethel Cain - Knuckle Velvet (Early Demo)
C27F6ECBCA017DBC,4,11.13,JENNIE & Doechii - ExtraL
5F3E022FEB2A7337,3,9.4,Wet Leg - catch these fists
4221809073F656C4,3,8.5,Wet Leg - CPR
FB60555CCE50E2A7,3,7.55,Arca - Rakata
3457F1EFFFE67C26,17,6.8,PinkPantheress - Intermission
3C44A9F6FD42FF1B,3,6.65,Charli xcx - 360
