Ethel Cain,123.72
Taylor Swift,106.75
Conan Gray,93.92
Charli xcx,81.23
Zara Larsson,67.17
Ben Platt,64.67
JADE,60.61
Doja Cat,43.52
Ariana Grande,34.60
FKA twigs,32.67
Oklou & FKA twigs,25.67
Oklou,25.67
A. G. Cook & Charli xcx,21.15
A. G. Cook,21.15
cupcakKe,19.12
Racing Mount Pleasant,18.93
Lana Del Rey,15.63
Sabrina Carpenter,8.00
Charli xcx & Ariana Grande,7.70
Lorde,7.52
Chappell Roan,7.50
Pomme,6.90
Vyva Melinkolya,6.80
Florence + the Machine,6.53
Addison Rae,5.63
Danny Brown,4.97
BANKS,4.37
Lady Gaga,3.97
Louisa Johnson,3.58
"Kesha, Slayyyter & Rose Gray",3.47
"Kesha, Slayyyter",3.47
Rose Gray,3.47
Charli xcx & Lorde,3.42
NewDad,3.38
Charli xcx & Caroline Polachek,3.38
Caroline Polachek,3.38
Alvaro Soler,3.07
Charli xcx & Bb trickz,2.90
Bb trickz,2.90
Arca,2.87
Slayyyter,2.78
Jonas Brothers,2.78
Shygirl & SG Lewis,2.48
Shygirl,2.48
SG Lewis,2.48
