Track ID,Play Count,Total Played Minutes,Artist - Title
F2C2753301DF4BB1,23,350.75,"Ethel Cain - Waco, Texas"
5EB0B27AB01229EA,37,218.92,Racing Mount Pleasant - Emily
FD342F1760F1354C,20,140.0,Racing Mount Pleasant - Call It Easy
3065DB5A3EB28A42,8,79.07,Ethel Cain - For Sure
DA28074EC70762A0,14,69.07,Racing Mount Pleasant - Seminary
44969FF10EEAB973,10,64.33,Ethel Cain - Dust Bowl
FD329C8C057CD8E6,10,50.0,Ethel Cain - Janie
3FD5427A420212BF,6,48.3,Ethel Cain - Nettles
FBF5FC2CCE75FFC5,10,41.17,Racing Mount Pleasant - You
186000C7C2229E71,8,32.93,Racing Mount Pleasant - You Pt. 2
0CECF0AE1EC383E7,20,28.0,MXZI - Montagem Tomada (Slowed)
0E5CB11A1678B17C,8,26.93,Ethel Cain - Knuckle Velvet (feat. Yah Wav)
0D88D8342A2C1201,4,16.8,Chappell Roan - The Subway
EBA3AF99889FAD06,3,15.75,Racing Mount Pleasant - Racing Mount Pleasant
5EB40F61A26A0A0C,3,15.05,Racing Mount Pleasant - Outlast
8AA610DE41A2927B,3,14.2,Ethel Cain - Willoughby's Theme
804BF9B0287A456A,3,13.65,Racing Mount Pleasant - Your Old Place
FD7467EDAF825346,4,13.53,Charli xcx - 365
51E7931400F67FFD,3,11.35,Beyoncé - 16 CARRIAGES
C72E88BFBD9EE942,4,11.27,Addison Rae - Diet Pepsi
55F36FC078B4A9B4,4,10.8,ROSALÍA - HENTAI
236E5BD3162A5468,3,8.45,Addison Rae - Diet Pepsi
10B0977EA963B628,3,7.5,Reneé Rapp - Why Is She Still Here?
3C44A9F6FD42FF1B,3,6.65,Charli xcx - 360
90BCA2A910992B3D,3,6.6,Racing Mount Pleasant - Seyburn
98EF99102163B74D,3,4.55,Racing Mount Pleasant - 34th Floor
