Track ID,Play Count,Total Played Minutes,Artist - Title
F2C2753301DF4BB1,13,198.25,"Ethel Cain - Waco, Texas"
A1E661997D28935E,13,36.18,Slayyyter - CANNIBALISM!
7B916EE541F0401F,7,24.27,Oklou - ict
743A2057A1708966,7,22.98,RAYE - Regardless
8B4996626740A27C,4,16.27,Arca - Ether
A20CE95B9CDBAE3D,5,14.58,Arca - Amrep
AD3169D7163377A6,4,13.53,NewDad - Pretty
31578589698130CD,4,13.07,RAYE - WHERE IS MY HUSBAND!
B9636DDB6BFE808E,4,12.07,B.o.B - Airplanes (feat. Hayley Williams of Paramore)
49964A63DB1247E6,5,11.42,Mitski - My Love Mine All Mine
EF02E2F07B979D54,4,10.87,Arca - Estrogen
F701BD4D69A78589,4,10.33,Arca - Pu
A2F2C42BE6AED054,3,9.35,Arca - Chiquito
0BFAA4978208D343,3,9.0,NewDad - Other Side
8C6BB9A09C43DC37,3,6.4,Mitski - Washing Machine Heart
391581D159622610,3,4.9,"Cristobal Tapia De Veer - Renaissance (Main Title Theme) [from ""The White Lotus: Season 2""]"
