Chappell Roan,322.13
Britney Spears,230.09
Weyes Blood,165.09
Reneé Rapp,85.00
Men I Trust,83.98
Oklou,79.17
Ethel Cain,74.03
The Marías,52.82
Jiafei,47.82
cupcakKe,28.83
田馥甄,26.34
Geordie Greep,24.20
Lana Del Rey,23.40
FKA twigs,22.50
Lily Allen,21.23
"Tyler, The Creator",18.78
Angel Olsen,17.43
Oklou & underscores,15.53
underscores,15.53
PinkPantheress,14.76
Jiafei & cupcakKe,13.90
Clairo,13.77
Addison Rae,11.73
Tim Heidecker & Weyes Blood,11.13
Tim Heidecker,11.13
Florence + the Machine,9.51
Lady Gaga,6.73
Viagra Boys,6.40
Wet Leg,6.10
Magdalena Bay,6.03
Radiohead,5.85
Charli xcx,5.75
Oklou & Bladee,5.70
Bladee,5.70
BLACKPINK,5.47
Adrianne Lenker,4.32
Christina Aguilera,4.28
Beach House,4.07
Danny Keane,3.62
Elton John & Dua Lipa,3.37
Elton John,3.37
Dua Lipa,3.37
SZA,2.55
Shygirl & SG Lewis,2.48
Shygirl,2.48
SG Lewis,2.48
SOPHIE,1.97
