Track ID,Play Count,Total Played Minutes,Artist - Title
71F75048E2797D48,7,42.47,Ethel Cain - Fuck Me Eyes
0DC3C230C45A77FA,6,29.1,Men I Trust - I Come With Mud
AE6971AB6F04FA7C,7,24.38,The Marías - Echo
7CD0E43372F06512,5,23.08,Weyes Blood - Seven Words
128C5FD8DE1FA837,8,21.87,BLACKPINK - JUMP
364805247E90BCB8,4,21.8,Weyes Blood - In the Beginning
1770901CF39C98AD,5,19.58,The Pretty Reckless - Make Me Wanna Die
7775B45F83CE3F62,3,17.25,Lana Del Rey - Stars Fell on Alabama (Live at Stagecoach 2025)
56E3F881262D9AB4,3,17.1,Madonna - Ray of Light (Sasha Twilo Mix Edit)
663E5AD8CD3E6530,5,16.75,"Tyler, The Creator - Ring Ring Ring"
0BDB516593576472,4,16.2,Quadeca - MONDAY
D1B8C31D986BE09D,3,14.8,Charli xcx - party 4 u
E92214D48E63FC2A,3,14.15,FKA twigs - Striptease
ED66A6240C736829,4,13.67,Ichiko Aoba - 惑星の泪 (Wakusei No Namida)
477A3EE05EE008ED,5,13.33,The Marías - Run Your Mouth
E5FD1A7CE287BCED,4,13.2,Oklou - blade bird
9CE330357EB7AFE0,3,13.15,FKA twigs - Eusexua
7EFBFF20E0527683,4,13.13,FKA twigs - Perfect Stranger
C68CE0007133F6A0,3,12.35,Men I Trust - Hard to Let Go
09A86F64AEACB4FC,3,11.8,The Marías - No One Noticed
9BE58790E0CB5B6A,3,11.6,Caroline Polachek - Welcome to My Island
E7C6B4490C162C8C,3,11.5,FKA twigs - Perfectly
37F28D91F182BEDE,4,11.27,Men I Trust - All My Candles
5BF01A454C1043A4,3,11.2,Men I Trust - The Landkeeper
992AD4F57B04D157,3,10.95,Ichiko Aoba - prisomnia
BAAEAD4080CB122A,4,10.2,"Tyler, The Creator - Sugar on My Tongue"
2EAF086AB2C5CDD0,3,9.95,Kali Uchis - Dead To Me
FD10A8164588A6EE,3,9.1,"Tyler, The Creator & Pharrell Williams - Big Poe (feat. Sk8brd)"
C68460E5DADA3CF7,5,8.75,Jiafei & cupcakKe - 睫毛彎彎 (Jiafei & cupcakKe Remix)
AAE41BFBDB5F20A0,5,7.5,Jiafei & cupcakKe - 隐形的翅膀 (Jiafei & cupcakKe Remix)
9E2BE6649B53E630,3,6.8,cupcakKe - Dui
8DEDA399869752FC,6,6.5,Jiafei - 愛的主打歌 Theme Song Of Love (Jiafei Remix)
12531400CBD197E9,4,2.67,Jiafei - Summertime Sadness (Jiafei Remix)
