Ethel Cain,726.49
Racing Mount Pleasant,579.61
Lana Del Rey,88.09
Britney Spears,74.13
Charli xcx,60.70
MXZI,28.00
cupcakKe,27.38
ROSALÍA,22.40
Addison Rae,19.72
FKA twigs,19.34
Chappell Roan,16.80
Beyoncé,15.02
Ariana Grande,14.55
Men I Trust,12.45
The Marías,11.66
Christina Aguilera,8.57
Arca,8.12
beabadoobee,7.67
Lady Gaga,7.62
Reneé Rapp,7.50
Florence + the Machine,7.50
Ichiko Aoba,6.89
Vyva Melinkolya,6.80
Radiohead,5.85
Cigarettes After Sex,5.32
cult friends,4.90
田馥甄,4.58
Kylie Minogue & Dua Lipa,4.37
Kylie Minogue,4.37
Dua Lipa,4.37
Atomic Kitten,3.97
Yeat & FKA twigs,3.80
Yeat,3.80
Lady Gaga & Beyoncé,3.67
Sufjan Stevens,3.58
Oklou,3.47
*NSYNC,3.33
Arca & Sia,3.30
Sia,3.30
Clairo,3.13
Doja Cat,2.72
Jiafei,1.43
Jiafei & cupcakKe,0.60
