Quadeca,124.17
FKA twigs,95.25
Lana Del Rey,80.18
Ethel Cain,78.25
The Marías,78.05
Men I Trust,77.20
Weyes Blood,67.69
"Tyler, The Creator",67.49
cupcakKe,52.27
Jamie xx,41.24
Charli xcx,39.95
The Pretty Reckless,37.11
Jiafei,30.29
Nils Frahm,27.88
Magdalena Bay,25.66
Ichiko Aoba,24.62
Madonna,22.43
蔡依林,22.35
BLACKPINK,21.87
Britney Spears,19.78
JENNIE,17.97
Caroline Polachek,17.70
Jiafei & cupcakKe,16.25
Lady Gaga,14.17
Arctic Monkeys,13.34
Oklou,13.20
Quadeca & Olēka,10.50
Olēka,10.50
HANA,10.13
Kali Uchis,9.95
"Tyler, The Creator & Pharrell Williams",9.10
Pharrell Williams,9.10
王菲,8.57
black midi,8.36
Angel Olsen,8.23
Sa Ding Ding,7.67
Geordie Greep,6.05
JENNIE & Doechii,5.57
Doechii,5.57
Viagra Boys,5.40
张韶涵,5.35
Beach House,5.33
Freak Heat Waves & Cindy Lee,5.15
Freak Heat Waves,5.15
Cindy Lee,5.15
"Black Country, New Road",4.95
Florence + the Machine,4.88
Ben Platt,4.70
谭维维,4.38
Radiohead,4.18
Jean-Efflam Bavouzet,4.07
ABBA,3.85
Billie Eilish,3.65
Chappell Roan,3.37
Jamie xx & Robyn,3.37
Robyn,3.37
Young Fathers,3.22
FKA twigs & Koreless,3.18
Koreless,3.18
JENNIE & Dua Lipa,3.07
Dua Lipa,3.07
Cristobal Tapia De Veer,1.77
