Track ID,Play Count,Total Played Minutes,Artist - Title
0D88D8342A2C1201,69,289.8,Chappell Roan - The Subway
10B0977EA963B628,34,85.0,Reneé Rapp - Why Is She Still Here?
5BF01A454C1043A4,9,33.6,Men I Trust - The Landkeeper
CAEF6C54AD6662B3,6,29.5,Ethel Cain - dust bowl (demo)
EE7F5F2F48386655,7,28.7,Chappell Roan - The Subway (Live)
9C9323C637F7CEFE,4,24.2,"Geordie Greep - Holy, Holy"
4B20E0ABD7A5BB0D,4,23.53,Weyes Blood - Movies
5900C8502897F45F,6,22.3,Britney Spears - Breathe On Me
CC0C7213058081D1,7,21.23,Lily Allen - Littlest Things
A4EA0A3887215B16,4,20.47,Weyes Blood - Everyday
2D74115E022914D6,3,17.65,Lana Del Rey - Taco Truck x VB
364805247E90BCB8,3,16.35,Weyes Blood - In the Beginning
0F32619A839236FE,4,16.0,Oklou - choke enough
3FF320B8EC2E4EFE,4,15.53,Oklou & underscores - harvest sky
69D4AA32994750F8,3,15.25,Weyes Blood - Mirror Forever
E13E2BC88D3B5EF6,3,14.6,Jiafei - Bad Romance (Jiafei Remix)
0DC3C230C45A77FA,3,14.55,Men I Trust - I Come With Mud
37F28D91F182BEDE,5,14.08,Men I Trust - All My Candles
7CD0E43372F06512,3,13.85,Weyes Blood - Seven Words
DE00496C09DF8738,3,11.05,Weyes Blood - Picture Me Better
B2A4CCC32E4FEA83,3,9.8,Britney Spears - Break the Ice
AEFE5D8DEBBB1E37,3,9.6,Men I Trust - To Ease You
ACED243EE69BDF61,3,7.7,"Tyler, The Creator - Balloon (feat. Doechii)"
C68460E5DADA3CF7,4,7.0,Jiafei & cupcakKe - 睫毛彎彎 (Jiafei & cupcakKe Remix)
AAE41BFBDB5F20A0,3,4.5,Jiafei & cupcakKe - 隐形的翅膀 (Jiafei & cupcakKe Remix)
12531400CBD197E9,6,4.0,Jiafei - Summertime Sadness (Jiafei Remix)
6C528B2C00344D72,4,3.33,Jiafei - Harleys In Hawaii (Jiafei Remix) [Prod. by Ranvision]
4D883BB8F55F892D,3,3.25,Weyes Blood - Nearer to Thee
36E628E6BF9299BB,4,3.13,Oklou - (;'༎ຶٹ༎ຶ')
2C1ECBCF49E3411D,5,2.75,Jiafei - Taco Truck x Radio (Jiafei Remix)
32A2D86B82A8C180,4,2.73,Jiafei - Judas (Jiafei Remix)
F75B37598699BCB5,4,2.4,Jiafei & cupcakKe - Baby One More Time (Jiafei & cupcakKe Remix)
BDD893C4A9EA53FD,4,2.33,Jiafei - in my head (Jiafei Remix)
