PinkPantheress,283.05
Ethel Cain,259.38
FKA twigs,160.28
Lana Del Rey,148.34
Charli xcx,145.99
cupcakKe,134.14
JENNIE,114.43
"Black Country, New Road",53.36
Britney Spears,44.27
Wet Leg,43.86
Oklou,42.57
Oklou & underscores,23.30
underscores,23.30
Dua Lipa,21.00
Wolf Alice,20.79
JENNIE & Dua Lipa,18.40
Arca,18.05
Addison Rae,16.45
张韶涵,16.05
Natalia Lafourcade,13.87
Quadeca,12.63
JENNIE & Doechii,11.13
Doechii,11.13
谭维维,10.40
Nils Frahm,10.29
Fatima Al Qadiri,9.28
"Clarice Jensen, Ben Russell, Yuki Numata Resnick & Max Richter",8.87
"Clarice Jensen, Ben Russell, Yuki Numata Resnick",8.87
Max Richter,8.87
Lei Zhao,5.48
Shygirl,5.28
Sunni Colón,5.07
Natalia Lafourcade & El David Aguilar,4.30
El David Aguilar,4.30
Chappell Roan,4.10
Natalia Lafourcade & Israel Fernández,3.97
Israel Fernández,3.97
Fontaines D.C.,3.68
Rina Sawayama,3.35
Ichiko Aoba,3.33
Arca & Sia,3.30
Sia,3.30
蔡依林,3.17
Viagra Boys,3.15
SZA,2.87
Shygirl & slowthai,2.80
slowthai,2.80
Miley Cyrus,2.62
Shygirl & SG Lewis,2.48
SG Lewis,2.48
Nicki Minaj,2.20
