Ethel Cain,325.92
蔡依林,66.55
Lana Del Rey,62.19
Arca,57.05
Charli xcx,55.55
Racing Mount Pleasant,52.72
FKA twigs,48.48
Adele,47.70
Britney Spears,47.18
Weyes Blood,33.83
Jiafei,24.05
Grimes,24.05
Beyoncé,23.33
Florence + the Machine,22.42
"Charli xcx, Addison Rae & A. G. Cook",18.32
"Charli xcx, Addison Rae",18.32
A. G. Cook,18.32
Cristobal Tapia De Veer,14.92
JENNIE,14.13
ROSALÍA,12.27
Chappell Roan,11.77
Jane Remover,10.67
cupcakKe,10.50
Slayyyter,8.35
BLACKPINK,8.20
Quadeca,8.10
Beyoncé,7.83
Hana,7.67
Men I Trust,7.67
Pomme,6.87
Oklou,6.60
ROSALÍA & Rauw Alejandro,6.47
Rauw Alejandro,6.47
May Jailer,5.38
Li Jian,4.90
Carpenters,4.55
Mohini Geisweiller,4.27
AURORA,4.12
Atomic Kitten,3.97
Christina Aguilera,3.97
Jiafei & cupcakKe,3.85
Clairo,3.75
Sabrina Carpenter,3.72
Japanese Breakfast,3.67
SZA,3.65
Pomme & Ichiko Aoba,3.62
Ichiko Aoba,3.62
Ariana Grande & Kid Cudi,3.35
Ariana Grande,3.35
Kid Cudi,3.35
Jane Remover & Lucy Bedroque,3.20
Lucy Bedroque,3.20
Viagra Boys,3.15
PinkPantheress,2.80
Doja Cat,2.72
Caroline Polachek,2.70
Charli xcx & Bladee,2.70
Bladee,2.70
"Tyler, The Creator",2.68
Charli xcx & Tinashe,2.55
Tinashe,2.55
Reneé Rapp,2.50
Arca & Safety Trance,2.40
Safety Trance,2.40
Magdalena Bay,0.52
::: unbenannt,0.00
