cupcakKe,243.44
Ethel Cain,122.53
FKA twigs,69.96
BLACKPINK,60.13
Christina Aguilera,35.35
PinkPantheress,33.58
JENNIE,33.34
Wolf Alice,26.91
Lana Del Rey,26.25
"Tyler, The Creator",19.70
Shygirl,18.44
Nils Frahm,13.17
Billie Eilish,12.73
Oklou,11.96
Charli xcx,9.40
Chappell Roan,8.20
Viagra Boys,7.90
Quadeca,7.90
"Shygirl, Jorja Smith & SadBoi",7.40
"Shygirl, Jorja Smith",7.40
SadBoi,7.40
Magdalena Bay,5.63
王菲,5.13
Shygirl & SG Lewis,4.97
SG Lewis,4.97
Jiafei,4.87
Frank Ocean,4.15
Avril Lavigne,4.08
SZA,4.02
Jamie xx,4.00
Beyoncé,3.93
Oklou & underscores,3.88
underscores,3.88
beabadoobee,3.83
蔡依林,3.77
Britney Spears,3.60
Lady Gaga,3.22
Wet Leg,3.13
JENNIE & Dua Lipa,3.07
Dua Lipa,3.07
Halsey,3.02
Charli xcx & Shygirl,2.02
